text,sentiment,tokens
"@SimPlyMoReNa I'm lovely  bout to go job hunting with sam , yu ?",1,"['@simplymorena', 'i', ""'m"", 'lovely', ' ', 'bout', 'to', 'go', 'job', 'hunting', 'with', 'sam', ',', 'yu', '?']"
hurry go home ,0,"['hurry', 'go', 'home']"
@sarabury Okey dokey soudns good. ,1,"['@sarabury', 'okey', 'dokey', 'soudns', 'good', '.']"
I was checking my email...hrrrr....Im so boooooored!!!  i miss my school,0,"['i', 'was', 'checking', 'my', 'email', '...', 'hrrrr', '....', 'im', 'so', 'boooooored', '!', '!', '!', ' ', 'i', 'miss', 'my', 'school']"
Hey @ohsoretro - You're on the front page!! ,1,"['hey', '@ohsoretro', '-', 'you', ""'re"", 'on', 'the', 'front', 'page', '!', '!']"
black (poo coloured school skirt) dress with the (ripped) tights underneath. fricking hell oh poo ,0,"['black', '(', 'poo', 'coloured', 'school', 'skirt', ')', 'dress', 'with', 'the', '(', 'ripped', ')', 'tights', 'underneath', '.', 'fricking', 'hell', 'oh', 'poo']"
"My stomach is brewing up something. Arghhh, ow  this better be worth it...",0,"['my', 'stomach', 'is', 'brewing', 'up', 'something', '.', 'arghhh', ',', 'ow', ' ', 'this', 'better', 'be', 'worth', 'it', '...']"
spending the afternoon baking by the pool... what a great feeling ,1,"['spending', 'the', 'afternoon', 'baking', 'by', 'the', 'pool', '...', 'what', 'a', 'great', 'feeling']"
"Back at work, lucky me! And as an extra special treat, I get to circumnavigate the M25! Woot, not ",0,"['back', 'at', 'work', ',', 'lucky', 'me', '!', 'and', 'as', 'an', 'extra', 'special', 'treat', ',', 'i', 'get', 'to', 'circumnavigate', 'the', 'm25', '!', 'woot', ',', 'not']"
"@firstdogonmoon burned onions just caramelise and taste wonderful, burned garlic means throw it out and start again ",0,"['@firstdogonmoon', 'burned', 'onions', 'just', 'caramelise', 'and', 'taste', 'wonderful', ',', 'burned', 'garlic', 'means', 'throw', 'it', 'out', 'and', 'start', 'again']"
So back from the spa/sister trip. It was awesome. i'm so mellow. Even Monday doesn't scare me. ,1,"['so', 'back', 'from', 'the', 'spa', '/', 'sister', 'trip', '.', 'it', 'was', 'awesome', '.', 'i', ""'m"", 'so', 'mellow', '.', 'even', 'monday', 'does', ""n't"", 'scare', 'me', '.']"
"@pmahesh thanks, not that I don't read Tintin sometimes ",1,"['@pmahesh', 'thanks', ',', 'not', 'that', 'i', 'do', ""n't"", 'read', 'tintin', 'sometimes']"
love me some jazz....pullin' an all nighter...HI to all the blenders  LOVE you guys. bible study field trip...NYC!!,1,"['love', 'me', 'some', 'jazz', '....', 'pullin', ""'"", 'an', 'all', 'nighter', '...', 'hi', 'to', 'all', 'the', 'blenders', ' ', 'love', 'you', 'guys', '.', 'bible', 'study', 'field', 'trip', '...', 'nyc', '!', '!']"
Babysittin! Then greater things at 7 ,1,"['babysittin', '!', 'then', 'greater', 'things', 'at', '7']"
@xRawrx0x so thats because of me? ,1,"['@xrawrx0x', 'so', 'that', 's', 'because', 'of', 'me', '?']"
...Got a few more designs for Fall I'm shooting next month ,1,"['...', 'got', 'a', 'few', 'more', 'designs', 'for', 'fall', 'i', ""'m"", 'shooting', 'next', 'month']"
Well shoot. I guess I should start yelling at people too. That's not my style though...so I'll just pout. ,0,"['well', 'shoot', '.', 'i', 'guess', 'i', 'should', 'start', 'yelling', 'at', 'people', 'too', '.', 'that', ""'s"", 'not', 'my', 'style', 'though', '...', 'so', 'i', ""'ll"", 'just', 'pout', '.']"
"@leewaters I can't have a dog in my apartment, can't really afford to move (or want to), and my lifestyle isn't conducive to having one. ",0,"['@leewaters', 'i', 'ca', ""n't"", 'have', 'a', 'dog', 'in', 'my', 'apartment', ',', 'ca', ""n't"", 'really', 'afford', 'to', 'move', '(', 'or', 'want', 'to', ')', ',', 'and', 'my', 'lifestyle', 'is', ""n't"", 'conducive', 'to', 'having', 'one', '.']"
its Timberlee's b-day...ma #1 artist 4 ever...timberleemusic....happy b-day...and party like a rock star... =]     ,1,"['its', 'timberlee', ""'s"", 'b', '-', 'day', '...', 'ma', '#', '1', 'artist', '4', 'ever', '...', 'timberleemusic', '....', 'happy', 'b', '-', 'day', '...', 'and', 'party', 'like', 'a', 'rock', 'star', '...', '=]', '    ']"
Yesssss..i will watch Drag Me to Hell tonight!! ,1,"['yesssss', '..', 'i', 'will', 'watch', 'drag', 'me', 'to', 'hell', 'tonight', '!', '!']"
"@mmmels We--and by 'we', I mean 'me'--of course want pics. ",1,"['@mmmels', 'we', '--', 'and', 'by', ""'"", 'we', ""'"", ',', 'i', 'mean', ""'"", ""me'--of"", 'course', 'want', 'pics', '.']"
Warning to all other jewellery makers - be careful to clean up properly;I was down a&amp;e til the early hours with wire stuck in my foot! Ow ,0,"['warning', 'to', 'all', 'other', 'jewellery', 'makers', '-', 'be', 'careful', 'to', 'clean', 'up', 'properly;i', 'was', 'down', 'a&amp;e', 'til', 'the', 'early', 'hours', 'with', 'wire', 'stuck', 'in', 'my', 'foot', '!', 'ow']"
@babygirlparis Ten bucks says I know where your going and if it's where I think it is....let me know if my boulder is still on the beach. ,1,"['@babygirlparis', 'ten', 'bucks', 'says', 'i', 'know', 'where', 'your', 'going', 'and', 'if', 'it', ""'s"", 'where', 'i', 'think', 'it', 'is', '....', 'let', 'me', 'know', 'if', 'my', 'boulder', 'is', 'still', 'on', 'the', 'beach', '.']"
"http://twitpic.com/666kr - Here's another one. I just noticed that he likes wearing plaid shirts (like this one), plus his smile. ",1,"['http://twitpic.com/666kr', '-', 'here', ""'s"", 'another', 'one', '.', 'i', 'just', 'noticed', 'that', 'he', 'likes', 'wearing', 'plaid', 'shirts', '(', 'like', 'this', 'one', ')', ',', 'plus', 'his', 'smile', '.']"
@mileycyrus where are you lady? I'm jealous! Atl has a lot of t-storms but not tonight ,0,"['@mileycyrus', 'where', 'are', 'you', 'lady', '?', 'i', ""'m"", 'jealous', '!', 'atl', 'has', 'a', 'lot', 'of', 't', '-', 'storms', 'but', 'not', 'tonight']"
@ashleytisdale you were great. just awesome. i was crying cuz i wanted to be there so bad ,0,"['@ashleytisdale', 'you', 'were', 'great', '.', 'just', 'awesome', '.', 'i', 'was', 'crying', 'cuz', 'i', 'wanted', 'to', 'be', 'there', 'so', 'bad']"
@wayway8 welcome 2 seattle wayway ,1,"['@wayway8', 'welcome', '2', 'seattle', 'wayway']"
Ahh!Geez didn't even get to wipe the crust out my eyes and ypu wanna argue how bout that...8 o'clock start ,0,"['ahh!geez', 'did', ""n't"", 'even', 'get', 'to', 'wipe', 'the', 'crust', 'out', 'my', 'eyes', 'and', 'ypu', 'wanna', 'argue', 'how', 'bout', 'that', '...', '8', ""o'clock"", 'start']"
@ChristinaArbini Shakeology is far superior to SlimFast. All U have to do is look @ the ingredients. Shakeology is real food nutrition! ,1,"['@christinaarbini', 'shakeology', 'is', 'far', 'superior', 'to', 'slimfast', '.', 'all', 'u', 'have', 'to', 'do', 'is', 'look', '@', 'the', 'ingredients', '.', 'shakeology', 'is', 'real', 'food', 'nutrition', '!']"
@natalietran If only I lived in Australia. ,0,"['@natalietran', 'if', 'only', 'i', 'lived', 'in', 'australia', '.']"
We use Jerusalem Artichoke in our Live formula as the prebiotic. Live is Onebodes stabilized probiotic with 1.5 billion CFU ,1,"['we', 'use', 'jerusalem', 'artichoke', 'in', 'our', 'live', 'formula', 'as', 'the', 'prebiotic', '.', 'live', 'is', 'onebodes', 'stabilized', 'probiotic', 'with', '1.5', 'billion', 'cfu']"
@dieneinsager Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,1,"['@dieneinsager', 'get', '100', 'followers', 'a', 'day', 'using', 'www.tweeteradder.com', 'once', 'you', 'add', 'everyone', 'you', 'are', 'on', 'the', 'train', 'or', 'pay', 'vip']"
Finding it hard to get my brain into gear today... but I have so much to do ,0,"['finding', 'it', 'hard', 'to', 'get', 'my', 'brain', 'into', 'gear', 'today', '...', 'but', 'i', 'have', 'so', 'much', 'to', 'do']"
@B0RR15 hallo  yu alright?,1,"['@b0rr15', 'hallo', ' ', 'yu', 'alright', '?']"
@_Larissa_ Youï¿½re in Cologne? Me too!  Have fun at Pinkpop! #marsiscoming and the [echelon] too ;&gt;,1,"['@_larissa', '_', 'youï¿½re', 'in', 'cologne', '?', 'me', 'too', '!', ' ', 'have', 'fun', 'at', 'pinkpop', '!', '#', 'marsiscoming', 'and', 'the', '[', 'echelon', ']', 'too', ';', '&', 'gt', ';']"
"is hoping she could have her 12-hour sleep again, just like what she had yesterday. ",0,"['is', 'hoping', 'she', 'could', 'have', 'her', '12', '-', 'hour', 'sleep', 'again', ',', 'just', 'like', 'what', 'she', 'had', 'yesterday', '.']"
why does time go in reverse when at work ,0,"['why', 'does', 'time', 'go', 'in', 'reverse', 'when', 'at', 'work']"
@smacula Lol!! Kent... live there term-time ,1,"['@smacula', 'lol', '!', '!', 'kent', '...', 'live', 'there', 'term', '-', 'time']"
looking for a cute cocktail dress for 2 days...got none interesting  Is it hard to find a cute cocktail dress in size 0 at a cheap price?,0,"['looking', 'for', 'a', 'cute', 'cocktail', 'dress', 'for', '2', 'days', '...', 'got', 'none', 'interesting', ' ', 'is', 'it', 'hard', 'to', 'find', 'a', 'cute', 'cocktail', 'dress', 'in', 'size', '0', 'at', 'a', 'cheap', 'price', '?']"
bout to make moves.  strawberry cough. ,1,"['bout', 'to', 'make', 'moves', '.', ' ', 'strawberry', 'cough', '.']"
@chiniehdiaz @ktbeeper @GodFirst08 Yay to Twitter families! ,1,"['@chiniehdiaz', '@ktbeeper', '@godfirst08', 'yay', 'to', 'twitter', 'families', '!']"
"woken up by the sound of thunder today, wow ",1,"['woken', 'up', 'by', 'the', 'sound', 'of', 'thunder', 'today', ',', 'wow']"
fuel girl buggy flipped over with 5people on in-many injurys ,0,"['fuel', 'girl', 'buggy', 'flipped', 'over', 'with', '5people', 'on', 'in', '-', 'many', 'injurys']"
"Oh! BTW: Just ordered my Herman Miller Mirra chair finally for my Home Office ;) After searching for months on the web, it's my choice ",1,"['oh', '!', 'btw', ':', 'just', 'ordered', 'my', 'herman', 'miller', 'mirra', 'chair', 'finally', 'for', 'my', 'home', 'office', ';)', 'after', 'searching', 'for', 'months', 'on', 'the', 'web', ',', 'it', ""'s"", 'my', 'choice']"
it's time for me to Cry ,0,"['it', ""'s"", 'time', 'for', 'me', 'to', 'cry']"
"@fring okay, let me rephrase that: finally a new samsung version, bec. mine is from 10/08, and that's the newest one. ",0,"['@fring', 'okay', ',', 'let', 'me', 'rephrase', 'that', ':', 'finally', 'a', 'new', 'samsung', 'version', ',', 'bec', '.', 'mine', 'is', 'from', '10/08', ',', 'and', 'that', ""'s"", 'the', 'newest', 'one', '.']"
@TeacherPatti it was so nice to meet you IRL today! ,1,"['@teacherpatti', 'it', 'was', 'so', 'nice', 'to', 'meet', 'you', 'irl', 'today', '!']"
http://tinyurl.com/mzojmb Dunno if you can view this specific car - But I like it. Shame the mileage is higher than 80k.. ,0,"['http://tinyurl.com/mzojmb', 'dunno', 'if', 'you', 'can', 'view', 'this', 'specific', 'car', '-', 'but', 'i', 'like', 'it', '.', 'shame', 'the', 'mileage', 'is', 'higher', 'than', '80k', '..']"
"I'm not going to be the first one to say it but...Nintendo, you've let all the &quot;adult&quot; gamers down...... ",0,"['i', ""'m"", 'not', 'going', 'to', 'be', 'the', 'first', 'one', 'to', 'say', 'it', 'but', '...', 'nintendo', ',', 'you', ""'ve"", 'let', 'all', 'the', '&', 'quot;adult&quot', ';', 'gamers', 'down', '......']"
"Thanks for all the b-day wishes... feels good   Had a great day,",1,"['thanks', 'for', 'all', 'the', 'b', '-', 'day', 'wishes', '...', 'feels', 'good', '  ', 'had', 'a', 'great', 'day', ',']"
So choked. Ashley Wallbridges' 'Faces' isn't out until later this month; really wanted to break it tonight @ HomeClub in Singapore.  &lt;/3,0,"['so', 'choked', '.', 'ashley', 'wallbridges', ""'"", ""'"", 'faces', ""'"", 'is', ""n't"", 'out', 'until', 'later', 'this', 'month', ';', 'really', 'wanted', 'to', 'break', 'it', 'tonight', '@', 'homeclub', 'in', 'singapore', '.', ' ', '&', 'lt;/3']"
So wish I could get drunk for my birthday!  someone come take me out!,0,"['so', 'wish', 'i', 'could', 'get', 'drunk', 'for', 'my', 'birthday', '!', ' ', 'someone', 'come', 'take', 'me', 'out', '!']"
@nattaa its possible babe . youve witnessed it for the last .. 8 years with me &amp; rupert ,1,"['@nattaa', 'its', 'possible', 'babe', '.', 'you', 've', 'witnessed', 'it', 'for', 'the', 'last', '..', '8', 'years', 'with', 'me', '&', 'amp', ';', 'rupert']"
@prosperitygal Thanks so much! ,1,"['@prosperitygal', 'thanks', 'so', 'much', '!']"
@drugaddicteyes ,1,['@drugaddicteyes']
"My dog is officially depressed that my brother's dogs are gone. He doesn't want to go outside and when we did, he play half-heartedly. ",0,"['my', 'dog', 'is', 'officially', 'depressed', 'that', 'my', 'brother', ""'s"", 'dogs', 'are', 'gone', '.', 'he', 'does', ""n't"", 'want', 'to', 'go', 'outside', 'and', 'when', 'we', 'did', ',', 'he', 'play', 'half', '-', 'heartedly', '.']"
listening to MCR when you haven't done so in ages is fun ,1,"['listening', 'to', 'mcr', 'when', 'you', 'have', ""n't"", 'done', 'so', 'in', 'ages', 'is', 'fun']"
i guess ben and jerry's at 10 wasn't a good idea...no sleep til like 12... ,0,"['i', 'guess', 'ben', 'and', 'jerry', ""'s"", 'at', '10', 'was', ""n't"", 'a', 'good', 'idea', '...', 'no', 'sleep', 'til', 'like', '12', '...']"
"off to take dog for a walk in the rain, seems so long since a wet walk, nice that it is cooler though ",1,"['off', 'to', 'take', 'dog', 'for', 'a', 'walk', 'in', 'the', 'rain', ',', 'seems', 'so', 'long', 'since', 'a', 'wet', 'walk', ',', 'nice', 'that', 'it', 'is', 'cooler', 'though']"
@samiajamal what!!! You have too ,0,"['@samiajamal', 'what', '!', '!', '!', 'you', 'have', 'too']"
nba draft stuff now trying to see what the celtics can do other than that no more basketball ,0,"['nba', 'draft', 'stuff', 'now', 'trying', 'to', 'see', 'what', 'the', 'celtics', 'can', 'do', 'other', 'than', 'that', 'no', 'more', 'basketball']"
"@wordwarthree I'm at southwest, leaves at 11.. Different terminals.. Boo ",0,"['@wordwarthree', 'i', ""'m"", 'at', 'southwest', ',', 'leaves', 'at', '11', '..', 'different', 'terminals', '..', 'boo']"
I fell off my board...  I ripped my pants... ,0,"['i', 'fell', 'off', 'my', 'board', '...', ' ', 'i', 'ripped', 'my', 'pants', '...']"
@mileycyrus im sorry ... you seem sad  i love you and feel better!! im so sick but be better&lt;3333333333,0,"['@mileycyrus', 'i', 'm', 'sorry', '...', 'you', 'seem', 'sad', ' ', 'i', 'love', 'you', 'and', 'feel', 'better', '!', '!', 'i', 'm', 'so', 'sick', 'but', 'be', 'better&lt;3333333333']"
I have such amazing people in my life. ,1,"['i', 'have', 'such', 'amazing', 'people', 'in', 'my', 'life', '.']"
@dlachance329 I can't sleep either dnuts ,0,"['@dlachance329', 'i', 'ca', ""n't"", 'sleep', 'either', 'dnuts']"
im bored... a lucky few of you may find that ive drawn you ,1,"['i', 'm', 'bored', '...', 'a', 'lucky', 'few', 'of', 'you', 'may', 'find', 'that', 'i', 've', 'drawn', 'you']"
"@TinaS71 would love to see another show, even from the back...but alas ",0,"['@tinas71', 'would', 'love', 'to', 'see', 'another', 'show', ',', 'even', 'from', 'the', 'back', '...', 'but', 'alas']"
"feeling very temporary and frustrated today, can't something good happen I mean really this is getting rediculous ",0,"['feeling', 'very', 'temporary', 'and', 'frustrated', 'today', ',', 'ca', ""n't"", 'something', 'good', 'happen', 'i', 'mean', 'really', 'this', 'is', 'getting', 'rediculous']"
@thatsevan That's seriously sad.  ,0,"['@thatsevan', 'that', ""'s"", 'seriously', 'sad', '.', ' ']"
Had a pleasant evening with her besties. But bleeaak that Rafa is not able 2 play at Wimbledon ,0,"['had', 'a', 'pleasant', 'evening', 'with', 'her', 'besties', '.', 'but', 'bleeaak', 'that', 'rafa', 'is', 'not', 'able', '2', 'play', 'at', 'wimbledon']"
@veeekay07 yea it does but the stupid thing doesnt work in korean...   and its also pretty cheap considering its an ipod...,0,"['@veeekay07', 'yea', 'it', 'does', 'but', 'the', 'stupid', 'thing', 'does', 'nt', 'work', 'in', 'korean', '...', '  ', 'and', 'its', 'also', 'pretty', 'cheap', 'considering', 'its', 'an', 'ipod', '...']"
- Sitting ion the garden with Hayley drinking Cider....lovely relax after yesterday...my first day tomorrow.....ohhhhhh..... ,1,"['-', 'sitting', 'ion', 'the', 'garden', 'with', 'hayley', 'drinking', 'cider', '....', 'lovely', 'relax', 'after', 'yesterday', '...', 'my', 'first', 'day', 'tomorrow', '.....', 'ohhhhhh', '.....']"
"Just spent a wonderful day with my Main.. Ain't seen her in a while(a week) LOL Fuck i,t I'm in love  ain't afraid to admit it either lol",1,"['just', 'spent', 'a', 'wonderful', 'day', 'with', 'my', 'main', '..', 'ai', ""n't"", 'seen', 'her', 'in', 'a', 'while(a', 'week', ')', 'lol', 'fuck', 'i', ',', 't', 'i', ""'m"", 'in', 'love', ' ', 'ai', ""n't"", 'afraid', 'to', 'admit', 'it', 'either', 'lol']"
"@jamesmb Well, with support like that, who needs Tweetie for Mac critics like me, eh? ",1,"['@jamesmb', 'well', ',', 'with', 'support', 'like', 'that', ',', 'who', 'needs', 'tweetie', 'for', 'mac', 'critics', 'like', 'me', ',', 'eh', '?']"
Has a hangover ,0,"['has', 'a', 'hangover']"
finalllyy. hello beddd ,1,"['finalllyy', '.', 'hello', 'beddd']"
misses his baby cakes  ! has decided to make a beast of a gaming rig as a project over summer,0,"['misses', 'his', 'baby', 'cakes', ' ', '!', 'has', 'decided', 'to', 'make', 'a', 'beast', 'of', 'a', 'gaming', 'rig', 'as', 'a', 'project', 'over', 'summer']"
@Rubyam not since the 2nd viewing about two weeks ago. Cool what does #trackle do? It's not trending anymore ,0,"['@rubyam', 'not', 'since', 'the', '2nd', 'viewing', 'about', 'two', 'weeks', 'ago', '.', 'cool', 'what', 'does', '#', 'trackle', 'do', '?', 'it', ""'s"", 'not', 'trending', 'anymore']"
"@Elvisduran I met Gteen Day, got their autograph and had it tattooed on my ankle ",1,"['@elvisduran', 'i', 'met', 'gteen', 'day', ',', 'got', 'their', 'autograph', 'and', 'had', 'it', 'tattooed', 'on', 'my', 'ankle']"
You guys have no idea how bummed I am that I'm still sick. This week was supposed to be awesome. I was going to learn things. ,0,"['you', 'guys', 'have', 'no', 'idea', 'how', 'bummed', 'i', 'am', 'that', 'i', ""'m"", 'still', 'sick', '.', 'this', 'week', 'was', 'supposed', 'to', 'be', 'awesome', '.', 'i', 'was', 'going', 'to', 'learn', 'things', '.']"
Celebrating in Oceanside with my beautiful bride of 364 days ,1,"['celebrating', 'in', 'oceanside', 'with', 'my', 'beautiful', 'bride', 'of', '364', 'days']"
"Gotta do all the chores on my own now- cooking,washing,ironing... and i hate it ",0,"['got', 'ta', 'do', 'all', 'the', 'chores', 'on', 'my', 'own', 'now-', 'cooking', ',', 'washing', ',', 'ironing', '...', 'and', 'i', 'hate', 'it']"
"My boss has this freaky way 2 make me say yes. Dalia: Yoshin's bday is 2night. Boss: okay, don't drink much &amp; come @ 10  Dalia: Uh, yes??",1,"['my', 'boss', 'has', 'this', 'freaky', 'way', '2', 'make', 'me', 'say', 'yes', '.', 'dalia', ':', 'yoshin', ""'s"", 'bday', 'is', '2night', '.', 'boss', ':', 'okay', ',', 'do', ""n't"", 'drink', 'much', '&', 'amp', ';', 'come', '@', '10', ' ', 'dalia', ':', 'uh', ',', 'yes', '?', '?']"
@antlatwil I WANT IN!  u gonna hook me up?? good morng to u...,1,"['@antlatwil', 'i', 'want', 'in', '!', ' ', 'u', 'gon', 'na', 'hook', 'me', 'up', '?', '?', 'good', 'morng', 'to', 'u', '...']"
I'm learning how to get set up on Twitter for the first time. - Jan ,1,"['i', ""'m"", 'learning', 'how', 'to', 'get', 'set', 'up', 'on', 'twitter', 'for', 'the', 'first', 'time', '.', '-', 'jan']"
Car less   I think I was bamboozle By niq348 aka Tricky Nicky Salazar.,0,"['car', 'less', '  ', 'i', 'think', 'i', 'was', 'bamboozle', 'by', 'niq348', 'aka', 'tricky', 'nicky', 'salazar', '.']"
4 more days till sadness on the beach ,0,"['4', 'more', 'days', 'till', 'sadness', 'on', 'the', 'beach']"
03hokie Oh yay!! Glad you guys are back in the same location! ,1,"['03hokie', 'oh', 'yay', '!', '!', 'glad', 'you', 'guys', 'are', 'back', 'in', 'the', 'same', 'location', '!']"
"@MissKeriBaby i love your CD and the songs! especially, change me, knock you down, and make love! keep it up ",1,"['@misskeribaby', 'i', 'love', 'your', 'cd', 'and', 'the', 'songs', '!', 'especially', ',', 'change', 'me', ',', 'knock', 'you', 'down', ',', 'and', 'make', 'love', '!', 'keep', 'it', 'up']"
@LorraineStanick Have a blog sale for sure!! I would love to have some of your makeup!!! ,1,"['@lorrainestanick', 'have', 'a', 'blog', 'sale', 'for', 'sure', '!', '!', 'i', 'would', 'love', 'to', 'have', 'some', 'of', 'your', 'makeup', '!', '!', '!']"
Can't sleep but I am soooooo tired! ,0,"['ca', ""n't"", 'sleep', 'but', 'i', 'am', 'soooooo', 'tired', '!']"
TGIF... unfortunately I work bright and early Saturday morning  At least it means my weekend is almost here!,0,"['tgif', '...', 'unfortunately', 'i', 'work', 'bright', 'and', 'early', 'saturday', 'morning', ' ', 'at', 'least', 'it', 'means', 'my', 'weekend', 'is', 'almost', 'here', '!']"
"says oh, it's raining again  http://plurk.com/p/xmv8u",0,"['says', 'oh', ',', 'it', ""'s"", 'raining', 'again', ' ', 'http://plurk.com/p/xmv8u']"
Welcome ,1,['welcome']
